PW_gene	PW_id	PW_name						
AT3G18000	PWY-3385	choline biosynthesis I	RXN-5642	2.1.1.103	AT3G18000-MONOMER	phosphoethanolamine N-methyltransferase	AT3G18000	AT3G18000
AT3G18000	PWY-3385	choline biosynthesis I	2.1.1.103-RXN	2.1.1.103	AT3G18000-MONOMER	phosphoethanolamine N-methyltransferase	AT3G18000	AT3G18000
AT2G26830	PWY-3385	choline biosynthesis I	ETHANOLAMINE-KINASE-RXN	2.7.1.82	AT2G26830-MONOMER	ethanolamine kinase	AT2G26830	AT2G26830
AT1G74320	PWY-3385	choline biosynthesis I	ETHANOLAMINE-KINASE-RXN	2.7.1.82	AT1G74320-MONOMER	ethanolamine kinase	AT1G74320	AT1G74320
AT1G73600	PWY-3385	choline biosynthesis I	RXN-5643	2.1.1.103	AT1G73600-MONOMER	phosphoethanolamine N-methyltransferase	AT1G73600	AT1G73600
AT1G73600	PWY-3385	choline biosynthesis I	RXN-5642	2.1.1.103	AT1G73600-MONOMER	phosphoethanolamine N-methyltransferase	AT1G73600	AT1G73600
AT1G73600	PWY-3385	choline biosynthesis I	2.1.1.103-RXN	2.1.1.103	AT1G73600-MONOMER	phosphoethanolamine N-methyltransferase	AT1G73600	AT1G73600
AT1G71697	PWY-3385	choline biosynthesis I	ETHANOLAMINE-KINASE-RXN	2.7.1.82	AT1G71697-MONOMER	ethanolamine kinase	AT1G71697	AT1G71697
AT1G48600	PWY-3385	choline biosynthesis I	RXN-5643	2.1.1.103	AT1G48600-MONOMER	phosphoethanolamine N-methyltransferase	AT1G48600	AT1G48600
AT1G48600	PWY-3385	choline biosynthesis I	RXN-5642	2.1.1.103	AT1G48600-MONOMER	phosphoethanolamine N-methyltransferase	AT1G48600	AT1G48600
AT1G48600	PWY-3385	choline biosynthesis I	2.1.1.103-RXN	2.1.1.103	AT1G48600-MONOMER	phosphoethanolamine N-methyltransferase	AT1G48600	AT1G48600
AT1G43710	PWY-3385	choline biosynthesis I	RXN-5641	4.1.1.-	AT1G43710-CPLX	serine decarboxylase	AT1G43710	AT1G43710
AT5G25370	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT5G25370-MONOMER	phospholipase D	AT5G25370	AT5G25370
AT4G35790	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT4G35790-CPLX	phospholipase D	AT4G35790	PLD delta
AT4G15130	PWY-3561	choline biosynthesis III	2.7.7.15-RXN	2.7.7.15	AT4G15130-MONOMER	choline-phosphate cytidylyltransferase	AT4G15130	AT4G15130
AT4G11850	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT4G11850-CPLX	phospholipase D	AT4G11850	PLD gamma
AT4G11840	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT4G11840-MONOMER	phospholipase D	AT4G11840	AT4G11840
AT4G11830	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT4G11830-MONOMER	phospholipase D	AT4G11830	AT4G11830
AT4G00240	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT4G00240-MONOMER	phospholipase D	AT4G00240	AT4G00240
AT3G25585	PWY-3561	choline biosynthesis III	RXN-5781	2.7.8.2	AT3G25585-MONOMER	"CDP-choline:1,2-diacylglycerol cholinephosphotransferase"	AT3G25585	AT3G25585
AT3G16785	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT3G16785-CPLX	phospholipase D	AT3G16785	PLD zeta
AT3G15730	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT3G15730-CPLX	phospholipase D	AT3G15730	PLD alpha
AT3G05630	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT3G05630-MONOMER	phospholipase D	AT3G05630	AT3G05630
AT2G42010	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT2G42010-CPLX	phospholipase D	AT2G42010	PLD beta
AT2G32260	PWY-3561	choline biosynthesis III	2.7.7.15-RXN	2.7.7.15	AT2G32260-MONOMER	choline-phosphate cytidylyltransferase	AT2G32260	AT2G32260
AT1G55180	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT1G55180-MONOMER	phospholipase D	AT1G55180	PLD epsilon
AT1G52570	PWY-3561	choline biosynthesis III	PHOSCHOL-RXN	3.1.4.4	AT1G52570-MONOMER	phospholipase D	AT1G52570	AT1G52570
AT1G13560	PWY-3561	choline biosynthesis III	RXN-5781	2.7.8.2	AT1G13560-MONOMER	"CDP-choline:1,2-diacylglycerol cholinephosphotransferase"	AT1G13560	AT1G13560
AT4G39540	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	SHIKIMATE-KINASE-RXN	2.7.1.71	AT4G39540-MONOMER	shikimate kinase	AT4G39540	SK2
AT3G26900	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	SHIKIMATE-KINASE-RXN	2.7.1.71	AT3G26900-MONOMER	shikimate kinase	AT3G26900	AT3G26900
AT3G06350	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	3-DEHYDROQUINATE-DEHYDRATASE-RXN	4.2.1.10	AT3G06350-MONOMER	dehydroquinate dehydratase	AT3G06350	AT3G06350
AT3G06350	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	SHIKIMATE-5-DEHYDROGENASE-RXN	1.1.1.25	AT3G06350-MONOMER	shikimate dehydrogenase	AT3G06350	AT3G06350
AT2G45300	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	2.5.1.19-RXN	2.5.1.19	AT2G45300-MONOMER	3-phosphoshikimate 1-carboxyvinyltransferase	AT2G45300	EPSP
AT2G21940	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	SHIKIMATE-KINASE-RXN	2.7.1.71	AT2G21940-MONOMER	shikimate kinase	AT2G21940	SK1
AT1G48860	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	2.5.1.19-RXN	2.5.1.19	AT1G48860-MONOMER	3-phosphoshikimate 1-carboxyvinyltransferase	AT1G48860	AT1G48860
AT1G48850	PWY-6163	chorismate biosynthesis from 3-dehydroquinate	CHORISMATE-SYNTHASE-RXN	4.2.3.5	AT1G48850-MONOMER	chorismate synthase	AT1G48850	AT1G48850
AT5G60540	CITRULBIO-PWY	citrulline biosynthesis	GLUTAMIN-RXN	3.5.1.2	AT5G60540-MONOMER	glutaminase	AT5G60540	PDX2
AT5G46180	CITRULBIO-PWY	citrulline biosynthesis	ORNITHINE-GLU-AMINOTRANSFORASE-RXN	2.6.1.13	AT5G46180-MONOMER	ornithine-&delta;-aminotransferase	AT5G46180	&delta;-OAT
AT5G38710	CITRULBIO-PWY	citrulline biosynthesis	RXN-821	1.5.99.8	AT5G38710-MONOMER	proline dehydrogenase	AT5G38710	AT5G38710
AT4G08900	CITRULBIO-PWY	citrulline biosynthesis	ARGINASE-RXN	3.5.3.1	AT4G08900-MONOMER	arginase	AT4G08900	ARGAH2
AT4G08870	CITRULBIO-PWY	citrulline biosynthesis	ARGINASE-RXN	3.5.3.1	AT4G08870-MONOMER	arginase	AT4G08870	ARGAH1
AT3G55610	CITRULBIO-PWY	citrulline biosynthesis	GLUTSEMIALDEHYDROG-RXN	1.2.1.41	AT3G55610-MONOMER	glutamate-5-semialdehyde dehydrogenase	AT3G55610	P5CS2
AT3G55610	CITRULBIO-PWY	citrulline biosynthesis	GLUTKIN-RXN	2.7.2.11	AT3G55610-MONOMER	glutamate 5-kinase	AT3G55610	P5CS2
AT3G30775	CITRULBIO-PWY	citrulline biosynthesis	RXN-821	1.5.99.8	AT3G30775-MONOMER	proline dehydrogenase	AT3G30775	AT3G30775
AT2G39800	CITRULBIO-PWY	citrulline biosynthesis	GLUTSEMIALDEHYDROG-RXN	1.2.1.41	AT2G39800-MONOMER	glutamate-5-semialdehyde dehydrogenase	AT2G39800	P5CS1
AT2G39800	CITRULBIO-PWY	citrulline biosynthesis	GLUTKIN-RXN	2.7.2.11	AT2G39800-MONOMER	gamma-glutamyl kinase	AT2G39800	P5CS1
AT1G75330	CITRULBIO-PWY	citrulline biosynthesis	ORNCARBAMTRANSFER-RXN	2.1.3.3	AT1G75330-MONOMER	ornithine carbamoyltransferase	AT1G75330	OTC
AT1G75330	CITRULLINE-DEG-PWY	citrulline degradation	ORNCARBAMTRANSFER-RXN	2.1.3.3	AT1G75330-MONOMER	ornithine carbamoyltransferase	AT1G75330	OTC
AT5G10920	PWY-4983	citrulline-nitric oxide cycle	ARGSUCCINLYA-RXN	4.3.2.1	AT5G10920-MONOMER	argininosuccinate lyase	AT5G10920	AT5G10920
AT4G24830	PWY-4983	citrulline-nitric oxide cycle	ARGSUCCINSYN-RXN	6.3.4.5	AT4G24830-MONOMER	argininosuccinate synthase	AT4G24830	AT4G24830
AT3G47450	PWY-4983	citrulline-nitric oxide cycle	NITRIC-OXIDE-SYNTHASE-RXN	1.14.13.39	AT3G47450-MONOMER	nitric-oxide synthase	AT3G47450	AT3G47450
AT5G22800	PWY-1269	CMP-KDO biosynthesis I	KDO-8PSYNTH-RXN	2.5.1.55	AT5G22800-MONOMER	3-deoxy-8-phosphooctulonate synthase	AT5G22800	AT5G22800
AT3G54690	PWY-1269	CMP-KDO biosynthesis I	DARAB5PISOM-RXN	5.3.1.13	AT3G54690-MONOMER	arabinose-5-phosphate isomerase	AT3G54690	AT3G54690
AT1G79500	PWY-1269	CMP-KDO biosynthesis I	KDO-8PSYNTH-RXN	2.5.1.55	CPLX-7034	3-deoxy-8-phosphooctulonate synthase	AT1G79500	kdsA1
AT1G53000	PWY-1269	CMP-KDO biosynthesis I	CPM-KDOSYNTH-RXN	2.7.7.38	AT1G53000-MONOMER	3-deoxy-manno-octulosonate cytidylyltransferase	AT1G53000	AT1G53000
AT1G16340	PWY-1269	CMP-KDO biosynthesis I	KDO-8PSYNTH-RXN	2.5.1.55	AT1G16340-MONOMER	3-deoxy-8-phosphooctulonate synthase	AT1G16340	AT1G16340
AT5G22800	PWY-5111	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	KDO-8PSYNTH-RXN	2.5.1.55	AT5G22800-MONOMER	3-deoxy-8-phosphooctulonate synthase	AT5G22800	AT5G22800
AT1G79500	PWY-5111	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	KDO-8PSYNTH-RXN	2.5.1.55	CPLX-7034	3-deoxy-8-phosphooctulonate synthase	AT1G79500	kdsA1
AT1G53000	PWY-5111	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	CPM-KDOSYNTH-RXN	2.7.7.38	AT1G53000-MONOMER	3-deoxy-manno-octulosonate cytidylyltransferase	AT1G53000	AT1G53000
AT1G16340	PWY-5111	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)	KDO-8PSYNTH-RXN	2.5.1.55	AT1G16340-MONOMER	3-deoxy-8-phosphooctulonate synthase	AT1G16340	AT1G16340
AT5G66510	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT5G66510-MONOMER	carbonate dehydratase	AT5G66510	at5g66510
AT5G56330	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT5G56330-MONOMER	carbonate dehydratase	AT5G56330	AT5G56330
AT5G14740	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT5G14740-MONOMER	carbonate dehydratase	AT5G14740	CA2
AT5G04180	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT5G04180-MONOMER	carbonate dehydratase	AT5G04180	AT5G04180
AT4G33580	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT4G33580-MONOMER	carbonate dehydratase	AT4G33580	AT4G33580
AT4G21000	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT4G21000-MONOMER	carbonate dehydratase	AT4G21000	AT4G21000
AT4G20990	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT4G20990-MONOMER	carbonate dehydratase	AT4G20990	AT4G20990
AT3G52720	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT3G52720-MONOMER	carbonate dehydratase	AT3G52720	AT3G52720
AT3G14940	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	PEPCARBOX-RXN	4.1.1.31	AT3G14940-MONOMER	phosphoenolpyruvate carboxylase	AT3G14940	PPC3
AT3G01500	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT3G01500-MONOMER	carbonate dehydratase	AT3G01500	CA1
AT2G42600	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	PEPCARBOX-RXN	4.1.1.31	AT2G42600-MONOMER	phosphoenolpyruvate carboxylase	AT2G42600	PPC2
AT2G28210	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT2G28210-MONOMER	carbonate dehydratase	AT2G28210	AT2G28210
AT1G70410	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT1G70410-MONOMER	carbonate dehydratase	AT1G70410	AT1G70410
AT1G68750	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	PEPCARBOX-RXN	4.1.1.31	AT1G68750-MONOMER	phospho<i>enol</i>pyruvate carboxylase	AT1G68750	AT1G68750
AT1G58180	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT1G58180-MONOMER	carbonate dehydratase	AT1G58180	AT1G58180
AT1G53310	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	PEPCARBOX-RXN	4.1.1.31	AT1G53310-MONOMER	phosphoenolpyruvate carboxylase	AT1G53310	PPC1
AT1G47260	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT1G47260-MONOMER	carbonate dehydratase	AT1G47260	at1g47260
AT1G23730	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT1G23730-MONOMER	carbonate dehydratase	AT1G23730	AT1G23730
AT1G19580	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT1G19580-MONOMER	carbonate dehydratase	AT1G19580	AT1G19580
AT1G08080	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT1G08080-MONOMER	carbonate dehydratase	AT1G08080	AT1G08080
AT1G08065	PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anapleurotic)	RXN0-5224	4.2.1.1	AT1G08065-MONOMER	carbonate dehydratase	AT1G08065	AT1G08065
AT5G02080	COA-PWY	coenzyme A biosynthesis	P-PANTOCYSLIG-RXN	6.3.2.5	AT5G02080-MONOMER	phosphopantothenate--cysteine ligase	AT5G02080	AT5G02080
AT3G18030	COA-PWY	coenzyme A biosynthesis	P-PANTOCYSDECARB-RXN	4.1.1.36	AT3G18030-MONOMER	phosphopantothenoylcysteine decarboxylase	AT3G18030	AtCoaC
AT2G27490	COA-PWY	coenzyme A biosynthesis	DEPHOSPHOCOAKIN-RXN	2.7.1.24	AT2G27490-MONOMER	dephospho-CoA kinase	AT2G27490	AtCoaE
AT2G18250	COA-PWY	coenzyme A biosynthesis	PANTEPADENYLYLTRAN-RXN	2.7.7.3	AT2G18250-MONOMER	4'-phosphopantetheine adenylyltransferase	AT2G18250	AtCoaD
AT1G48605	COA-PWY	coenzyme A biosynthesis	P-PANTOCYSDECARB-RXN	4.1.1.36	AT1G48605-MONOMER	phosphopantothenoylcysteine decarboxylase	AT1G48605	AT1G48605
AT1G12350	COA-PWY	coenzyme A biosynthesis	P-PANTOCYSLIG-RXN	6.3.2.5	AT1G12350-MONOMER	phosphopantothenoylcysteine synthetase	AT1G12350	ATCoaB
AT5G66690	PWY-116	coniferin metabolism	2.4.1.111-RXN	2.4.1.111	AT5G66690-MONOMER	coniferyl-alcohol glucosyltransferase	AT5G66690	AT5G66690
AT5G26310	PWY-116	coniferin metabolism	2.4.1.111-RXN	2.4.1.111	AT5G26310-MONOMER		AT5G26310	AT5G26310
AT4G36770	PWY-116	coniferin metabolism	2.4.1.111-RXN	2.4.1.111	AT4G36770-MONOMER	coniferyl-alcohol glucosyltransferase	AT4G36770	AT4G36770
AT3G50740	PWY-116	coniferin metabolism	2.4.1.111-RXN	2.4.1.111	AT3G50740-MONOMER	coniferyl-alcohol glucosyltransferase	AT3G50740	AT3G50740
AT2G18570	PWY-116	coniferin metabolism	2.4.1.111-RXN	2.4.1.111	AT2G18570-MONOMER	coniferyl-alcohol glucosyltransferase	AT2G18570	AT2G18570
AT2G18560	PWY-116	coniferin metabolism	2.4.1.111-RXN	2.4.1.111	AT2G18560-MONOMER	coniferyl-alcohol glucosyltransferase	AT2G18560	AT2G18560
AT5G44790	PWY-6137	copper transport II	3.6.3.4-RXN	3.6.3.4	AT5G44790-MONOMER	Cu2+-exporting ATPase	AT5G44790	AT5G44790
AT5G21930	PWY-6137	copper transport II	3.6.3.4-RXN	3.6.3.4	AT5G21930-MONOMER	Cu2+-exporting ATPase	AT5G21930	AT5G21930
AT4G33520	PWY-6137	copper transport II	3.6.3.4-RXN	3.6.3.4	AT4G33520-MONOMER	Cu2+-exporting ATPase	AT4G33520	AT4G33520
AT1G63440	PWY-6137	copper transport II	3.6.3.4-RXN	3.6.3.4	AT1G63440-MONOMER	Cu2+-exporting ATPase	AT1G63440	AT1G63440
AT5G64570	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G64570-MONOMER	&beta;-glucosidase	AT5G64570	AT5G64570
AT5G54570	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G54570-MONOMER	&beta;-glucosidase	AT5G54570	AT5G54570
AT5G49360	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G49360-MONOMER	&beta;-glucosidase	AT5G49360	AT5G49360
AT5G44640	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G44640-MONOMER	&beta;-glucosidase	AT5G44640	AT5G44640
AT5G42260	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G42260-MONOMER	&beta;-glucosidase	AT5G42260	AT5G42260
AT5G36890	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G36890-MONOMER	&beta;-glucosidase	AT5G36890	AT5G36890
AT5G28510	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G28510-MONOMER	&beta;-glucosidase	AT5G28510	AT5G28510
AT5G24550	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G24550-MONOMER	&beta;-glucosidase	AT5G24550	AT5G24550
AT5G24540	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G24540-MONOMER	&beta;-glucosidase	AT5G24540	AT5G24540
AT5G20950	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G20950-MONOMER	&beta;-glucosidase	AT5G20950	AT5G20950
AT5G20940	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G20940-MONOMER	&beta;-glucosidase	AT5G20940	AT5G20940
AT5G10560	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G10560-MONOMER	&beta;-glucosidase	AT5G10560	AT5G10560
AT5G09730	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G09730-MONOMER	&beta;-glucosidase	AT5G09730	AT5G09730
AT5G09700	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G09700-MONOMER	&beta;-glucosidase	AT5G09700	AT5G09700
AT5G04885	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT5G04885-MONOMER	&beta;-glucosidase	AT5G04885	AT5G04885
AT4G27830	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT4G27830-MONOMER	&beta;-glucosidase	AT4G27830	AT4G27830
AT4G27820	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT4G27820-MONOMER	&beta;-glucosidase	AT4G27820	AT4G27820
AT4G22100	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT4G22100-MONOMER	&beta;-glucosidase	AT4G22100	AT4G22100
AT4G21760	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT4G21760-MONOMER	&beta;-glucosidase	AT4G21760	AT4G21760
AT3G62750	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G62750-MONOMER	&beta;-glucosidase	AT3G62750	AT3G62750
AT3G62740	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G62740-MONOMER	&beta;-glucosidase	AT3G62740	AT3G62740
AT3G62710	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G62710-MONOMER	&beta;-glucosidase	AT3G62710	AT3G62710
AT3G60140	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G60140-MONOMER	&beta;-glucosidase	AT3G60140	AT3G60140
AT3G60130	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G60130-MONOMER	&beta;-glucosidase	AT3G60130	AT3G60130
AT3G60120	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G60120-MONOMER	&beta;-glucosidase	AT3G60120	AT3G60120
AT3G47050	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G47050-MONOMER	&beta;-glucosidase	AT3G47050	AT3G47050
AT3G47040	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G47040-MONOMER	&beta;-glucosidase	AT3G47040	AT3G47040
AT3G47010	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G47010-MONOMER	&beta;-glucosidase	AT3G47010	AT3G47010
AT3G47000	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G47000-MONOMER	&beta;-glucosidase	AT3G47000	AT3G47000
AT3G21370	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G21370-MONOMER	&beta;-glucosidase	AT3G21370	AT3G21370
AT3G19620	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G19620-MONOMER	&beta;-glucosidase	AT3G19620	AT3G19620
AT3G18080	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G18080-MONOMER	&beta;-glucosidase	AT3G18080	BGLU44
AT3G18070	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G18070-MONOMER	&beta;-glucosidase	AT3G18070	AT3G18070
AT3G09260	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G09260-MONOMER	&beta;-glucosidase	AT3G09260	AT3G09260
AT3G03640	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT3G03640-MONOMER	&beta;-glucosidase	AT3G03640	AT3G03640
AT2G44490	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT2G44490-MONOMER	&beta;-glucosidase	AT2G44490	PEN2
AT2G44480	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT2G44480-MONOMER	&beta;-glucosidase	AT2G44480	AT2G44480
AT2G44470	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT2G44470-MONOMER	&beta;-glucosidase	AT2G44470	AT2G44470
AT2G44460	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT2G44460-MONOMER	&beta;-glucosidase	AT2G44460	AT2G44460
AT2G44450	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT2G44450-MONOMER	&beta;-glucosidase	AT2G44450	AT2G44450
AT2G32860	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT2G32860-MONOMER	&beta;-glucosidase	AT2G32860	AT2G32860
AT2G25630	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT2G25630-MONOMER	&beta;-glucosidase	AT2G25630	AT2G25630
AT1G78060	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G78060-MONOMER	&beta;-glucosidase	AT1G78060	AT1G78060
AT1G75940	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G75940-MONOMER	&beta;-glucosidase	AT1G75940	AT1G75940
AT1G66280	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G66280-MONOMER	&beta;-glucosidase	AT1G66280	AT1G66280
AT1G66270	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G66270-MONOMER	&beta;-glucosidase	AT1G66270	AT1G66270
AT1G61820	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G61820-MONOMER	&beta;-glucosidase	AT1G61820	AT1G61820
AT1G61810	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G61810-MONOMER	&beta;-glucosidase	AT1G61810	AT1G61810
AT1G60270	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G60270-MONOMER	&beta;-glucosidase	AT1G60270	AT1G60270
AT1G60260	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G60260-MONOMER	&beta;-glucosidase	AT1G60260	AT1G60260
AT1G60090	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G60090-MONOMER	&beta;-glucosidase	AT1G60090	AT1G60090
AT1G52400	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G52400-MONOMER	&beta;-glucosidase	AT1G52400	BG1
AT1G45191	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G45191-MONOMER	&beta;-glucosidase	AT1G45191	AT1G45191
AT1G26560	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G26560-MONOMER	&beta;-glucosidase	AT1G26560	AT1G26560
AT1G02850	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G02850-MONOMER	&beta;-glucosidase	AT1G02850	AT1G02850
AT1G02640	PWY-5176	coumarin biosynthesis (via 2-coumarate)	RXN-8036	3.2.1.21	AT1G02640-MONOMER	&beta;-glucosidase	AT1G02640	AT1G02640
